~country~region~n_int_fac~n_int_stu~n_stu~n_fac~title~rank_display~wiki_name
Aalto University~Finland~Europe~370.0~1831.0~12147.0~1257.0~Aalto University~=137~Aalto University
Aarhus University~Denmark~Europe~602.0~3762.0~26226.0~2316.0~Aarhus University~119~Aarhus University
Albert-Ludwigs-Universitaet Freiburg~Germany~Europe~413.0~3897.0~23214.0~1966.0~Albert-Ludwigs-Universitaet Freiburg~171~University of Freiburg
Alma Mater Studiorum - University of Bologna~Italy~Europe~153.0~4195.0~63399.0~2990.0~Alma Mater Studiorum - University of Bologna~=188~University of Bologna
Boston University~United States~North America~379.0~7041.0~25662.0~3157.0~Boston University~81~Boston University
Brown University~United States~North America~379.0~1825.0~9251.0~1303.0~Brown University~53~Brown University
California Institute of Technology (Caltech)~United States~North America~350.0~647.0~2255.0~953.0~California Institute of Technology (Caltech)~4~California Institute of Technology
Cardiff University~United Kingdom~Europe~705.0~6090.0~24565.0~2755.0~Cardiff University~=137~Cardiff University
Carnegie Mellon University~United States~North America~425.0~6385.0~13356.0~1342.0~Carnegie Mellon University~=47~Carnegie Mellon University
CentraleSupélec~France~Europe~137.0~1132.0~3877.0~529.0~CentraleSupélec~177~CentraleSupélec
Chalmers University of Technology~Sweden~Europe~336.0~1465.0~9257.0~1077.0~Chalmers University of Technology~133~Chalmers University of Technology
City University of Hong Kong~Hong Kong~Asia~1027.0~3273.0~9240.0~1349.0~City University of Hong Kong~49~City University of Hong Kong
Columbia University~United States~North America~913.0~8105.0~25045.0~6189.0~Columbia University~18~Columbia University
Cornell University~United States~North America~970.0~5411.0~21904.0~2718.0~Cornell University~14~Cornell University
Dartmouth College~United States~North America~27.0~945.0~6224.0~939.0~Dartmouth College~169~Dartmouth College
Delft University of Technology~Netherlands~Europe~701.0~4634.0~16527.0~1669.0~Delft University of Technology~54~Delft University of Technology
Duke University~United States~North America~226.0~2864.0~15320.0~2938.0~Duke University~=21~Duke University
Durham University~United Kingdom~Europe~586.0~4690.0~16745.0~1539.0~Durham University~=78~Durham University
ETH Zurich - Swiss Federal Institute of Technology~Switzerland~Europe~1886.0~7563.0~19815.0~2477.0~ETH Zurich - Swiss Federal Institute of Technology~10~ETH Zurich
Eberhard Karls Universität Tübingen~Germany~Europe~796.0~3860.0~27366.0~3844.0~Eberhard Karls Universität Tübingen~=164~University of Tübingen
Ecole Polytechnique~France~Europe~259.0~924.0~3126.0~649.0~Ecole Polytechnique~59~École Polytechnique
Ecole Polytechnique Fédérale de Lausanne (EPFL)~Switzerland~Europe~1300.0~5896.0~10343.0~1695.0~Ecole Polytechnique Fédérale de Lausanne (EPFL)~12~École Polytechnique Fédérale de Lausanne
Ecole normale supérieure, Paris~France~Europe~75.0~374.0~1907.0~178.0~Ecole normale supérieure, Paris~43~École Normale Supérieure
Eindhoven University of Technology~Netherlands~Europe~322.0~1275.0~7636.0~801.0~Eindhoven University of Technology~104~Eindhoven University of Technology
Emory University~United States~North America~484.0~2154.0~12852.0~2560.0~Emory University~=147~Emory University
Erasmus University Rotterdam~Netherlands~Europe~458.0~5229.0~23273.0~2011.0~Erasmus University Rotterdam~=147~Erasmus University Rotterdam
Freie Universitaet Berlin~Germany~Europe~305.0~5735.0~32912.0~1375.0~Freie Universitaet Berlin~=125~Free University of Berlin
Fudan University~China~Asia~1178.0~4680.0~29135.0~4037.0~Fudan University~40~Fudan University
Georgia Institute of Technology~United States~North America~75.0~4761.0~21082.0~1133.0~Georgia Institute of Technology~70~Georgia Institute of Technology
Ghent University~Belgium~Europe~482.0~3766.0~35968.0~2520.0~Ghent University~=125~Ghent University
Hanyang University~South Korea~Asia~364.0~3397.0~23348.0~3085.0~Hanyang University~155~Hanyang University
Harvard University~United States~North America~1311.0~5266.0~22429.0~4350.0~Harvard University~3~Harvard University
Hokkaido University~Japan~Asia~210.0~1347.0~17552.0~2605.0~Hokkaido University~=122~Hokkaido University
Humboldt-Universität zu Berlin~Germany~Europe~407.0~4805.0~33198.0~1966.0~Humboldt-Universität zu Berlin~120~Humboldt University of Berlin
Imperial College London~United Kingdom~Europe~2071.0~8746.0~16090.0~3930.0~Imperial College London~8~Imperial College London
Indian Institute of Science (IISc) Bangalore~India~Asia~0.0~47.0~4071.0~423.0~Indian Institute of Science (IISc) Bangalore~190~Indian Institute of Science
Indian Institute of Technology Bombay (IITB)~India~Asia~19.0~93.0~9402.0~876.0~Indian Institute of Technology Bombay (IITB)~=179~Indian Institute of Technology Bombay
Indian Institute of Technology Delhi (IITD)~India~Asia~4.0~80.0~7477.0~466.0~Indian Institute of Technology Delhi (IITD)~172~Indian Institute of Technology Delhi
Instituto Tecnológico y de Estudios Superiores de Monterrey~Mexico~Latin America~821.0~1412.0~13376.0~1822.0~Instituto Tecnológico y de Estudios Superiores de Monterrey~199~Monterrey Institute of Technology and Higher Education
Johns Hopkins University~United States~North America~1061.0~4105.0~16146.0~4462.0~Johns Hopkins University~17~Johns Hopkins University
KAIST - Korea Advanced Institute of Science & Technology~South Korea~Asia~147.0~584.0~9826.0~1250.0~KAIST - Korea Advanced Institute of Science & Technology~=41~KAIST
KIT, Karlsruhe Institute of Technology~Germany~Europe~410.0~4809.0~26081.0~1827.0~KIT, Karlsruhe Institute of Technology~107~Karlsruhe Institute of Technology
KTH Royal Institute of Technology~Sweden~Europe~494.0~1937.0~12658.0~1500.0~KTH Royal Institute of Technology~=98~Royal Institute of Technology
