s_adj,age,sex,unit,geo\time	2016M10 	2016M11 	2016M12 	2017M01 	2017M02 	2017M03 	2017M04 	2017M05 	2017M06 	2017M07 	2017M08 	2017M09 
SA,TOTAL,T,PC_ACT,AT	5.9 	5.8 	5.7 	5.7 	5.8 	5.7 	5.6 	5.4 	5.3 	5.4 	5.5 	5.6 
SA,TOTAL,T,PC_ACT,BE	7.2 	7.2 	7.2 	7.6 b	7.7 	7.6 	7.4 	7.3 	7.2 	7.3 	7.3 	7.1 
SA,TOTAL,T,PC_ACT,BG	7.0 	6.8 	6.7 	6.6 	6.6 	6.4 	6.2 	6.1 	6.1 	6.1 	6.2 	6.1 
SA,TOTAL,T,PC_ACT,CY	13.1 	13.4 	13.2 	12.7 	12.5 	12.1 	11.6 	11.3 	10.9 	10.7 	10.6 	10.3 
SA,TOTAL,T,PC_ACT,CZ	3.7 	3.7 	3.5 	3.3 	3.3 	3.2 	3.3 	3.0 	2.9 	2.8 	2.8 	2.7 
SA,TOTAL,T,PC_ACT,DE	4.0 	3.9 	3.9 	3.9 	3.9 	3.9 	3.8 	3.8 	3.7 	3.7 	3.6 	3.6 
SA,TOTAL,T,PC_ACT,DK	6.5 	6.3 	6.1 	6.1 	6.1 	5.9 	5.7 	5.7 	5.7 	5.8 	5.7 	5.7 
SA,TOTAL,T,PC_ACT,EA	9.8 	9.7 	9.6 	9.6 	9.5 	9.4 	9.2 	9.2 	9.1 	9.0 	9.0 	8.9 
SA,TOTAL,T,PC_ACT,EA18	9.8 	9.8 	9.7 	9.6 	9.5 	9.4 	9.2 	9.2 	9.1 	9.0 	9.0 	8.9 
SA,TOTAL,T,PC_ACT,EA19	9.8 	9.7 	9.6 	9.6 	9.5 	9.4 	9.2 	9.2 	9.1 	9.0 	9.0 	8.9 
SA,TOTAL,T,PC_ACT,EE	7.1 	6.7 	6.3 	5.9 	5.6 	5.6 	6.3 	6.7 	6.4 	5.9 	5.4 	: 
SA,TOTAL,T,PC_ACT,EL	23.3 	23.4 	23.4 	23.1 	22.6 	22.1 	21.8 	21.6 	21.3 	21.0 	: 	: 
SA,TOTAL,T,PC_ACT,ES	18.8 	18.7 	18.5 	18.4 	18.2 	18.0 	17.6 	17.3 	17.0 	16.9 	16.8 	16.7 
SA,TOTAL,T,PC_ACT,EU27	8.3 	8.2 	8.1 	8.1 	8.0 	7.9 	7.7 	7.7 	7.6 	7.6 	7.5 	7.5 
SA,TOTAL,T,PC_ACT,EU28	8.3 	8.3 	8.2 	8.1 	8.0 	7.9 	7.8 	7.7 	7.6 	7.6 	7.5 	7.5 
SA,TOTAL,T,PC_ACT,FI	8.7 	8.8 	8.8 	8.8 	8.8 	8.8 	8.8 	8.8 	8.7 	8.7 	8.7 	8.7 
SA,TOTAL,T,PC_ACT,FR	10.0 	10.0 	9.9 	9.7 	9.6 	9.6 	9.5 	9.5 	9.6 	9.7 	9.7 	9.7 
SA,TOTAL,T,PC_ACT,HR	12.6 	12.5 	12.4 	12.1 	11.8 	11.6 	11.4 	11.1 	10.9 	10.8 	10.7 	10.5 
SA,TOTAL,T,PC_ACT,HU	4.7 	4.5 	4.3 	4.3 	4.3 	4.4 	4.3 	4.3 	4.3 	4.3 	4.2 	: 
SA,TOTAL,T,PC_ACT,IE	7.2 	7.0 	6.9 	6.9 	6.8 	6.6 	6.4 	6.2 	6.1 	6.2 	6.1 	6.1 
SA,TOTAL,T,PC_ACT,IS	2.9 	2.9 	2.9 	2.9 	2.8 	2.8 	2.8 	2.8 	2.8 	2.9 	2.9 	2.9 
SA,TOTAL,T,PC_ACT,IT	11.7 	11.9 	11.8 	11.8 	11.5 	11.5 	11.2 	11.3 	11.1 	11.3 	11.1 	11.1 
SA,TOTAL,T,PC_ACT,JP	3.0 	3.1 	3.1 	3.0 	2.8 	2.8 	2.8 	3.1 	2.8 	2.8 	2.8 	2.8 
SA,TOTAL,T,PC_ACT,LT	7.4 	7.4 	7.6 	7.7 	7.9 	8.1 	7.4 	7.0 	7.0 	7.6 	7.5 	7.7 
SA,TOTAL,T,PC_ACT,LU	6.3 	6.2 	6.3 	6.1 	6.1 	6.0 	6.0 	6.0 	6.0 	6.1 	6.0 	6.0 
SA,TOTAL,T,PC_ACT,LV	9.5 	9.4 	9.4 	9.4 	9.0 	8.7 	8.8 	8.9 	8.8 	8.5 	8.2 	7.9 
SA,TOTAL,T,PC_ACT,MT	4.4 	4.3 	4.3 	4.4 	4.3 	4.2 	4.1 	4.1 	4.0 	4.1 	4.1 	4.1 
